npz_path,npz_file_name,style_name,style_description,movement_type,movement_type_label,filename_style_prefix,style_name_matches_filename,clip_text_prompt,llm_model
data/Q1/100STYLE/Aeroplane/Aeroplane_BR.npz,Aeroplane_BR.npz,Aeroplane,Both arms raised as wings – tilting from side to side,BR,Backwards Running,Aeroplane,True,"A person runs backwards with both arms raised like wings, tilting from side to side.",Pro/deepseek-ai/DeepSeek-V3.2
data/Q1/100STYLE/Aeroplane/Aeroplane_BW.npz,Aeroplane_BW.npz,Aeroplane,Both arms raised as wings – tilting from side to side,BW,Backwards Walking,Aeroplane,True,"A person walks backwards with both arms raised as wings, tilting from side to side.",Pro/deepseek-ai/DeepSeek-V3.2
data/Q1/100STYLE/Aeroplane/Aeroplane_FR.npz,Aeroplane_FR.npz,Aeroplane,Both arms raised as wings – tilting from side to side,FR,Forwards Running,Aeroplane,True,"A person runs forwards with both arms raised like wings, tilting from side to side.",Pro/deepseek-ai/DeepSeek-V3.2
data/Q1/100STYLE/Aeroplane/Aeroplane_FW.npz,Aeroplane_FW.npz,Aeroplane,Both arms raised as wings – tilting from side to side,FW,Forwards Walking,Aeroplane,True,"A person walks forwards, arms raised like wings and tilting from side to side.",Pro/deepseek-ai/DeepSeek-V3.2
data/Q1/100STYLE/Aeroplane/Aeroplane_ID.npz,Aeroplane_ID.npz,Aeroplane,Both arms raised as wings – tilting from side to side,ID,Idling,Aeroplane,True,"A person raises both arms as wings, tilting from side to side while idling.",Pro/deepseek-ai/DeepSeek-V3.2
data/Q1/100STYLE/Aeroplane/Aeroplane_SR.npz,Aeroplane_SR.npz,Aeroplane,Both arms raised as wings – tilting from side to side,SR,Sidestep Running,Aeroplane,True,A person runs sidestepping with arms raised like wings and tilting side to side.,Pro/deepseek-ai/DeepSeek-V3.2
data/Q1/100STYLE/Aeroplane/Aeroplane_SW.npz,Aeroplane_SW.npz,Aeroplane,Both arms raised as wings – tilting from side to side,SW,Sidestep Walking,Aeroplane,True,A person sidesteps while raising both arms like wings and tilting from side to side.,Pro/deepseek-ai/DeepSeek-V3.2
data/Q1/100STYLE/Aeroplane/Aeroplane_TR1.npz,Aeroplane_TR1.npz,Aeroplane,Both arms raised as wings – tilting from side to side,TR1,Transition 1,Aeroplane,True,A person tilts side to side with arms raised as wings during a lower body transition.,Pro/deepseek-ai/DeepSeek-V3.2
data/Q1/100STYLE/Akimbo/Akimbo_BR.npz,Akimbo_BR.npz,Akimbo,Hands on hips,BR,Backwards Running,Akimbo,True,A person runs backwards with hands on hips.,Pro/deepseek-ai/DeepSeek-V3.2
data/Q1/100STYLE/Akimbo/Akimbo_BW.npz,Akimbo_BW.npz,Akimbo,Hands on hips,BW,Backwards Walking,Akimbo,True,A person is walking backwards with hands on hips.,Pro/deepseek-ai/DeepSeek-V3.2
data/Q1/100STYLE/Akimbo/Akimbo_FR.npz,Akimbo_FR.npz,Akimbo,Hands on hips,FR,Forwards Running,Akimbo,True,A person runs forward with hands on hips.,Pro/deepseek-ai/DeepSeek-V3.2
data/Q1/100STYLE/Akimbo/Akimbo_FW.npz,Akimbo_FW.npz,Akimbo,Hands on hips,FW,Forwards Walking,Akimbo,True,A person walks forwards with hands on hips.,Pro/deepseek-ai/DeepSeek-V3.2
data/Q1/100STYLE/Akimbo/Akimbo_ID.npz,Akimbo_ID.npz,Akimbo,Hands on hips,ID,Idling,Akimbo,True,A person stands idly with hands on hips.,Pro/deepseek-ai/DeepSeek-V3.2
data/Q1/100STYLE/Akimbo/Akimbo_SR.npz,Akimbo_SR.npz,Akimbo,Hands on hips,SR,Sidestep Running,Akimbo,True,A person sidestep runs with hands on hips.,Pro/deepseek-ai/DeepSeek-V3.2
data/Q1/100STYLE/Akimbo/Akimbo_SW.npz,Akimbo_SW.npz,Akimbo,Hands on hips,SW,Sidestep Walking,Akimbo,True,Human motion of sidestepping with hands placed firmly on hips.,Pro/deepseek-ai/DeepSeek-V3.2
data/Q1/100STYLE/Akimbo/Akimbo_TR1.npz,Akimbo_TR1.npz,Akimbo,Hands on hips,TR1,Transition 1,Akimbo,True,Human motion of placing hands on hips while transitioning.,Pro/deepseek-ai/DeepSeek-V3.2
data/Q1/100STYLE/Angry/Angry_BR.npz,Angry_BR.npz,Angry,Swing lower arms aggressively - fists closed,BR,Backwards Running,Angry,True,"A person runs backwards, aggressively swinging their lower arms with fists closed.",Pro/deepseek-ai/DeepSeek-V3.2
data/Q1/100STYLE/Angry/Angry_BW.npz,Angry_BW.npz,Angry,Swing lower arms aggressively - fists closed,BW,Backwards Walking,Angry,True,A person walks backwards while aggressively swinging their lower arms with fists closed.,Pro/deepseek-ai/DeepSeek-V3.2
data/Q1/100STYLE/Angry/Angry_FR.npz,Angry_FR.npz,Angry,Swing lower arms aggressively - fists closed,FR,Forwards Running,Angry,True,Human motion of swinging lower arms aggressively with fists closed while running forwards.,Pro/deepseek-ai/DeepSeek-V3.2
data/Q1/100STYLE/Angry/Angry_FW.npz,Angry_FW.npz,Angry,Swing lower arms aggressively - fists closed,FW,Forwards Walking,Angry,True,A person walks forward while swinging their lower arms aggressively with fists closed.,Pro/deepseek-ai/DeepSeek-V3.2
data/Q1/100STYLE/Angry/Angry_ID.npz,Angry_ID.npz,Angry,Swing lower arms aggressively - fists closed,ID,Idling,Angry,True,A person swings their lower arms aggressively with fists closed while idling.,Pro/deepseek-ai/DeepSeek-V3.2
data/Q1/100STYLE/Angry/Angry_SR.npz,Angry_SR.npz,Angry,Swing lower arms aggressively - fists closed,SR,Sidestep Running,Angry,True,"A person runs with sidesteps, aggressively swinging their lower arms with fists closed.",Pro/deepseek-ai/DeepSeek-V3.2
data/Q1/100STYLE/Angry/Angry_SW.npz,Angry_SW.npz,Angry,Swing lower arms aggressively - fists closed,SW,Sidestep Walking,Angry,True,A person sidesteps while swinging their lower arms aggressively with fists closed.,Pro/deepseek-ai/DeepSeek-V3.2
data/Q1/100STYLE/Angry/Angry_TR1.npz,Angry_TR1.npz,Angry,Swing lower arms aggressively - fists closed,TR1,Transition 1,Angry,True,A person aggressively swings their lower arms with fists closed while transitioning their lower body.,Pro/deepseek-ai/DeepSeek-V3.2
data/Q1/100STYLE/ArmsAboveHead/ArmsAboveHead_BR.npz,ArmsAboveHead_BR.npz,ArmsAboveHead,Arms raised straight above head,BR,Backwards Running,ArmsAboveHead,True,Human motion of running backwards with arms raised straight above the head.,Pro/deepseek-ai/DeepSeek-V3.2
data/Q1/100STYLE/ArmsAboveHead/ArmsAboveHead_BW.npz,ArmsAboveHead_BW.npz,ArmsAboveHead,Arms raised straight above head,BW,Backwards Walking,ArmsAboveHead,True,Human motion of walking backwards with arms raised straight above the head.,Pro/deepseek-ai/DeepSeek-V3.2
data/Q1/100STYLE/ArmsAboveHead/ArmsAboveHead_FR.npz,ArmsAboveHead_FR.npz,ArmsAboveHead,Arms raised straight above head,FR,Forwards Running,ArmsAboveHead,True,A person runs forwards with arms raised straight above head.,Pro/deepseek-ai/DeepSeek-V3.2
data/Q1/100STYLE/ArmsAboveHead/ArmsAboveHead_FW.npz,ArmsAboveHead_FW.npz,ArmsAboveHead,Arms raised straight above head,FW,Forwards Walking,ArmsAboveHead,True,A person walks forward with arms raised straight above their head.,Pro/deepseek-ai/DeepSeek-V3.2
data/Q1/100STYLE/ArmsAboveHead/ArmsAboveHead_ID.npz,ArmsAboveHead_ID.npz,ArmsAboveHead,Arms raised straight above head,ID,Idling,ArmsAboveHead,True,A person idles with arms raised straight above head.,Pro/deepseek-ai/DeepSeek-V3.2
data/Q1/100STYLE/ArmsAboveHead/ArmsAboveHead_SR.npz,ArmsAboveHead_SR.npz,ArmsAboveHead,Arms raised straight above head,SR,Sidestep Running,ArmsAboveHead,True,A person sidestep runs with arms raised straight above their head.,Pro/deepseek-ai/DeepSeek-V3.2
data/Q1/100STYLE/ArmsAboveHead/ArmsAboveHead_SW.npz,ArmsAboveHead_SW.npz,ArmsAboveHead,Arms raised straight above head,SW,Sidestep Walking,ArmsAboveHead,True,A person walks sideways with arms raised straight above their head.,Pro/deepseek-ai/DeepSeek-V3.2
data/Q1/100STYLE/ArmsAboveHead/ArmsAboveHead_TR1.npz,ArmsAboveHead_TR1.npz,ArmsAboveHead,Arms raised straight above head,TR1,Transition 1,ArmsAboveHead,True,A person raises arms straight above head while transitioning lower body.,Pro/deepseek-ai/DeepSeek-V3.2
data/Q1/100STYLE/ArmsBehindBack/ArmsBehindBack_BR.npz,ArmsBehindBack_BR.npz,ArmsBehindBack,Prince Phillip Walk – hands clasped behind back,BR,Backwards Running,ArmsBehindBack,True,A person runs backwards with hands clasped behind back.,Pro/deepseek-ai/DeepSeek-V3.2
data/Q1/100STYLE/ArmsBehindBack/ArmsBehindBack_BW.npz,ArmsBehindBack_BW.npz,ArmsBehindBack,Prince Phillip Walk – hands clasped behind back,BW,Backwards Walking,ArmsBehindBack,True,A person walks backwards with hands clasped behind their back.,Pro/deepseek-ai/DeepSeek-V3.2
data/Q1/100STYLE/ArmsBehindBack/ArmsBehindBack_FR.npz,ArmsBehindBack_FR.npz,ArmsBehindBack,Prince Phillip Walk – hands clasped behind back,FR,Forwards Running,ArmsBehindBack,True,A person runs forwards with hands clasped behind their back.,Pro/deepseek-ai/DeepSeek-V3.2
data/Q1/100STYLE/ArmsBehindBack/ArmsBehindBack_FW.npz,ArmsBehindBack_FW.npz,ArmsBehindBack,Prince Phillip Walk – hands clasped behind back,FW,Forwards Walking,ArmsBehindBack,True,A person walks forwards with hands clasped behind their back.,Pro/deepseek-ai/DeepSeek-V3.2
data/Q1/100STYLE/ArmsBehindBack/ArmsBehindBack_ID.npz,ArmsBehindBack_ID.npz,ArmsBehindBack,Prince Phillip Walk – hands clasped behind back,ID,Idling,ArmsBehindBack,True,A person idles with hands clasped behind the back.,Pro/deepseek-ai/DeepSeek-V3.2
data/Q1/100STYLE/ArmsBehindBack/ArmsBehindBack_SR.npz,ArmsBehindBack_SR.npz,ArmsBehindBack,Prince Phillip Walk – hands clasped behind back,SR,Sidestep Running,ArmsBehindBack,True,A person sidestep runs with hands clasped behind their back.,Pro/deepseek-ai/DeepSeek-V3.2
data/Q1/100STYLE/ArmsBehindBack/ArmsBehindBack_SW.npz,ArmsBehindBack_SW.npz,ArmsBehindBack,Prince Phillip Walk – hands clasped behind back,SW,Sidestep Walking,ArmsBehindBack,True,A person sidesteps with hands clasped behind their back.,Pro/deepseek-ai/DeepSeek-V3.2
data/Q1/100STYLE/ArmsBehindBack/ArmsBehindBack_TR1.npz,ArmsBehindBack_TR1.npz,ArmsBehindBack,Prince Phillip Walk – hands clasped behind back,TR1,Transition 1,ArmsBehindBack,True,A person walks with hands clasped behind their back.,Pro/deepseek-ai/DeepSeek-V3.2
data/Q1/100STYLE/ArmsBySide/ArmsBySide_BR.npz,ArmsBySide_BR.npz,ArmsBySide,Keep arms fixed by side and do not move them,BR,Backwards Running,ArmsBySide,True,A person runs backwards with arms fixed by their side.,Pro/deepseek-ai/DeepSeek-V3.2
data/Q1/100STYLE/ArmsBySide/ArmsBySide_BW.npz,ArmsBySide_BW.npz,ArmsBySide,Keep arms fixed by side and do not move them,BW,Backwards Walking,ArmsBySide,True,A person walks backwards with arms fixed at their sides.,Pro/deepseek-ai/DeepSeek-V3.2
data/Q1/100STYLE/ArmsBySide/ArmsBySide_FR.npz,ArmsBySide_FR.npz,ArmsBySide,Keep arms fixed by side and do not move them,FR,Forwards Running,ArmsBySide,True,Human motion of running forward with arms held stationary at the sides.,Pro/deepseek-ai/DeepSeek-V3.2
data/Q1/100STYLE/ArmsBySide/ArmsBySide_FW.npz,ArmsBySide_FW.npz,ArmsBySide,Keep arms fixed by side and do not move them,FW,Forwards Walking,ArmsBySide,True,A person walks forwards while keeping their arms fixed by their sides.,Pro/deepseek-ai/DeepSeek-V3.2
data/Q1/100STYLE/ArmsBySide/ArmsBySide_ID.npz,ArmsBySide_ID.npz,ArmsBySide,Keep arms fixed by side and do not move them,ID,Idling,ArmsBySide,True,Human motion of idling with arms held stationary at the sides.,Pro/deepseek-ai/DeepSeek-V3.2
data/Q1/100STYLE/ArmsBySide/ArmsBySide_SR.npz,ArmsBySide_SR.npz,ArmsBySide,Keep arms fixed by side and do not move them,SR,Sidestep Running,ArmsBySide,True,A person runs with sidesteps while keeping arms fixed at their sides.,Pro/deepseek-ai/DeepSeek-V3.2
data/Q1/100STYLE/ArmsBySide/ArmsBySide_SW.npz,ArmsBySide_SW.npz,ArmsBySide,Keep arms fixed by side and do not move them,SW,Sidestep Walking,ArmsBySide,True,A person sidesteps while keeping their arms fixed by their sides.,Pro/deepseek-ai/DeepSeek-V3.2
data/Q1/100STYLE/ArmsBySide/ArmsBySide_TR1.npz,ArmsBySide_TR1.npz,ArmsBySide,Keep arms fixed by side and do not move them,TR1,Transition 1,ArmsBySide,True,Human motion of transitioning with arms fixed at the sides.,Pro/deepseek-ai/DeepSeek-V3.2
data/Q1/100STYLE/ArmsFolded/ArmsFolded_BR.npz,ArmsFolded_BR.npz,ArmsFolded,Right arm folded over left,BR,Backwards Running,ArmsFolded,True,A person runs backwards with their right arm folded over their left.,Pro/deepseek-ai/DeepSeek-V3.2
data/Q1/100STYLE/ArmsFolded/ArmsFolded_BW.npz,ArmsFolded_BW.npz,ArmsFolded,Right arm folded over left,BW,Backwards Walking,ArmsFolded,True,A person walks backwards with the right arm folded over the left.,Pro/deepseek-ai/DeepSeek-V3.2
